,attributes.capacitystatus,attributes.clockSpeed,attributes.currentGeneration,attributes.dedicatedEbsThroughput,attributes.ebsOptimized,attributes.ecu,attributes.elasticGpuType,attributes.enhancedNetworkingSupported,attributes.fromLocation,attributes.fromLocationType,attributes.gpu,attributes.gpuMemory,attributes.group,attributes.groupDescription,attributes.instance,attributes.instanceCapacity10xlarge,attributes.instanceCapacity12xlarge,attributes.instanceCapacity16xlarge,attributes.instanceCapacity18xlarge,attributes.instanceCapacity24xlarge,attributes.instanceCapacity2xlarge,attributes.instanceCapacity32xlarge,attributes.instanceCapacity4xlarge,attributes.instanceCapacity8xlarge,attributes.instanceCapacity9xlarge,attributes.instanceCapacityLarge,attributes.instanceCapacityMedium,attributes.instanceCapacityXlarge,attributes.instanceFamily,attributes.instanceType,attributes.intelAvx2Available,attributes.intelAvxAvailable,attributes.intelTurboAvailable,attributes.licenseModel,attributes.location,attributes.locationType,attributes.maxIopsBurstPerformance,attributes.maxIopsvolume,attributes.maxThroughputvolume,attributes.maxVolumeSize,attributes.memory,attributes.networkPerformance,attributes.normalizationSizeFactor,attributes.operatingSystem,attributes.operation,attributes.physicalCores,attributes.physicalProcessor,attributes.preInstalledSw,attributes.processorArchitecture,attributes.processorFeatures,attributes.provisioned,attributes.servicecode,attributes.servicename,attributes.storage,attributes.storageMedia,attributes.tenancy,attributes.toLocation,attributes.toLocationType,attributes.transferType,attributes.usagetype,attributes.vcpu,attributes.volumeType,productFamily,sku
42442,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,34,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,16,Linux,RunInstances:0004,,Intel Xeon Platinum 8124M,SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:c5.2xlarge,8,,Compute Instance,JY2DM99T3AK28GF5
42449,Used,2.3 GHz,Yes,850 Mbps,,13,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Up to 10 Gigabit,8,SUSE,RunInstances:000g,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 950 NVMe SSD,,Dedicated,,,,DedicatedUsage:i3.xlarge,4,,Compute Instance,W84NR989M57Y5DZJ
42467,Used,2.9 GHz,Yes,500 Mbps,,8,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,3.75 GiB,Moderate,4,Windows,RunInstances:0002,,Intel Xeon E5-2666 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:c4.large,2,,Compute Instance,R4XHKDDZUJXABU4Z
42480,Used,2.3 GHz,Yes,3500 Mbps,,91,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.8xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,976 GiB,Up to 10 Gigabit,64,Windows,RunInstances:0002,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 960 SSD,,Dedicated,,,,DedicatedUsage:x1e.8xlarge,32,,Compute Instance,6767SWNDDU2CUUEJ
42493,Used,,No,,,5,,,,,,,,,,,,,,,,,,,,,,,Compute optimized,c1.medium,,,,No License required,US East (N. Virginia),AWS Region,,,,,1.7 GiB,Moderate,2,SUSE,RunInstances:000g,,Intel Xeon Family,NA,32-bit or 64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 350,,Shared,,,,BoxUsage:c1.medium,2,,Compute Instance,5EYCR4NNAWN9DZT3
42503,Used,,Yes,,,173,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.12xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,384 GiB,10 Gigabit,96,SUSE,RunInstances:000g,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 900 NVMe SSD,,Host,,,,HostBoxUsage:r5d.12xlarge,48,,Compute Instance,4FTNGCB6TUXBUGPZ
42512,NA,,Yes,,,19,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,10 Gigabit,8,Linux,Hourly,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,NA,,,,EBSOptimized:r5d.xlarge,4,,Compute Instance,6VCTW72DHDRNHEQG
42515,Used,Up to 3.3 GHz,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t2.medium,,,,No License required,US East (N. Virginia),AWS Region,,,,,4 GiB,Low to Moderate,2,Windows,RunInstances:0002,,Intel Xeon Family,NA,32-bit or 64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t2.medium,2,,Compute Instance,F7H92E3N3TN52552
42518,Used,,Yes,,,28,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,8,Windows,RunInstances:0002,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Shared,,,,BoxUsage:z1d.xlarge,4,,Compute Instance,PQUPVKE4C2VTJASH
42541,Used,2.5 GHz,No,,,14,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Moderate,8,Windows,RunInstances:0002,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 800 SSD,,Host,,,,HostBoxUsage:i2.xlarge,4,,Compute Instance,6VXGKV62HT3PPGUM
42542,Used,2.5 GHz,Yes,Upto 2120 Mbps,,31,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5d.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,16,Linux,RunInstances,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 300 NVMe SSD,,Host,,,,HostBoxUsage:m5d.2xlarge,8,,Compute Instance,G84V75MUFYTY4HMG
42547,Used,2.4 GHz,Yes,1000 Mbps,,26,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,High,16,Linux,RunInstances:0004,,Intel Xeon E5-2676 v3 (Haswell),SQL Std,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m4.2xlarge,8,,Compute Instance,GM4PWDKCX3XTCXWY
42558,Used,,No,,,5,,,,,,,,,,,,,,,,,,,,,,,Compute optimized,c1.medium,,,,No License required,US East (N. Virginia),AWS Region,,,,,1.7 GiB,Moderate,2,SUSE,RunInstances:000g,,Intel Xeon Family,NA,32-bit or 64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 350,,Dedicated,,,,DedicatedUsage:c1.medium,2,,Compute Instance,P6GWCP7NZJR2VSTT
42562,Used,,Yes,,,19,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,10 Gigabit,8,SUSE,RunInstances:000g,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Host,,,,HostBoxUsage:r5d.xlarge,4,,Compute Instance,9NPURT2BCBCQEQRR
42564,Used,3.0 Ghz,Yes,4500 Mbps,,141,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.9xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,72 GiB,10 Gigabit,72,Windows,RunInstances:0006,,Intel Xeon Platinum 8124M,SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 900 NVMe SSD,,Shared,,,,BoxUsage:c5d.9xlarge,36,,Compute Instance,BHMXW48TTU4FKHMY
42580,Used,,Yes,,,134,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.6xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,192 GiB,10 Gigabit,48,Windows,RunInstances:0202,,Intel Xeon Platinum 8151,SQL Web,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 900 NVMe SSD,,Dedicated,,,,DedicatedUsage:z1d.6xlarge,24,,Compute Instance,T72Q6C5EMNHETA6B
42587,Used,,Yes,,,10,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,10 Gigabit,4,Linux,RunInstances:0200,,Intel Xeon Platinum 8175,SQL Web,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:r5.large,2,,Compute Instance,8URJXPYBBHQGJFH2
42656,Used,2.4 GHz,Yes,,,14,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,d2.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Moderate,8,Linux,RunInstances,,Intel Xeon E5-2676v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,3 x 2000 HDD,,Shared,,,,BoxUsage:d2.xlarge,4,,Compute Instance,U7343ZA6ABZUXFZ9
42659,Used,,No,,,8,,,,,,,,,,,,,,,,,,,,,,,General purpose,m1.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,15 GiB,High,8,SUSE,RunInstances:000g,,Intel Xeon Family,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,4 x 420,,Shared,,,,BoxUsage:m1.xlarge,4,,Compute Instance,GCU5MTJSYT27M7JU
42676,Used,2.5 GHz,No,,,13,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,30.5 GiB,Moderate,8,SUSE,RunInstances:000g,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 80 SSD,,Shared,,,,BoxUsage:r3.xlarge,4,,Compute Instance,32R9UMHRGUNFK9EM
42692,Used,2.3 GHz,Yes,12000 Mbps,,195,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,Linux,RunInstances:0200,,Intel Xeon E5-2686 v4 (Broadwell),SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:r4.16xlarge,64,,Compute Instance,8ZHU6HGR4RXD83SH
42694,Used,,Yes,,,15,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,4,Linux,RunInstances:0004,,Intel Xeon Platinum 8151,SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 75 NVMe SSD,,Host,,,,HostBoxUsage:z1d.large,2,,Compute Instance,YXP85SU7ACPEQ69D
42697,Used,2.5 GHz,No,,,3,,,,,,,,,,,,,,,,,,,,,,,General purpose,m3.medium,,,,No License required,US East (N. Virginia),AWS Region,,,,,3.75 GiB,Moderate,2,Windows,RunInstances:0202,,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),SQL Web,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 4 SSD,,Shared,,,,BoxUsage:m3.medium,1,,Compute Instance,VECSNYXG6RJ6YNH2
42703,Used,2.3 GHz,Yes,12000 Mbps,,195,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,RHEL,RunInstances:0010,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r4.16xlarge,64,,Compute Instance,ZJXKCMNRMSTSZTE8
42720,Used,2.5 GHz,No,,,26,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,High,16,Linux,RunInstances:0100,,Intel Xeon E5-2670 v2 (Ivy Bridge),SQL Ent,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 160 SSD,,Shared,,,,BoxUsage:r3.2xlarge,8,,Compute Instance,6GVB6VT2VPUAPDH9
42728,Used,2.6 GHz,No,,,88,,,,,,,,,,,,,,,,,,,,,,,Compute optimized,cc2.8xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,60.5 GiB,10 Gigabit,64,Windows,RunInstances:0800,,Intel Xeon E5-2670,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,4 x 840,,Shared,,,,BoxUsage:cc2.8xlarge,32,,Compute Instance,TKSBGRRFANCGSQGJ
42733,Used,2.3 GHz,Yes,3500 Mbps,,91,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.8xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,976 GiB,Up to 10 Gigabit,64,RHEL,RunInstances:0010,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 960 SSD,,Host,,,,HostBoxUsage:x1e.8xlarge,32,,Compute Instance,35JBFVAK8WGVGG7U
42734,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,17,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,8 GiB,Up to 10 Gigabit,8,Linux,RunInstances,,Intel Xeon Platinum 8124M,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:c5.xlarge,4,,Compute Instance,8X7RVDXN67YREJTH
42736,Used,2.8 GHz,No,,,28,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,15 GiB,High,16,Linux,RunInstances:0200,,Intel Xeon E5-2680 v2 (Ivy Bridge),SQL Web,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 80 SSD,,Host,,,,HostBoxUsage:c3.2xlarge,8,,Compute Instance,SM8TQR5XNWK3FQHU
42739,Used,2.8 GHz,No,,,14,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,7.5 GiB,Moderate,8,SUSE,RunInstances:000g,,Intel Xeon E5-2680 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 40 SSD,,Dedicated,,,,DedicatedUsage:c3.xlarge,4,,Compute Instance,7GGEQ9QF87XSSGPH
42741,Used,,No,,,2,,,,,,,,,,,,,,,,,,,,,,,General purpose,m1.medium,,,,No License required,US East (N. Virginia),AWS Region,,,,,3.75 GiB,Moderate,2,Windows,RunInstances:0002,,Intel Xeon Family,NA,32-bit or 64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 410,,Shared,,,,BoxUsage:m1.medium,1,,Compute Instance,2CJFZEAKYQD4ZCJU
42743,Used,,Yes,,,53,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.2xlarge,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,64 GiB,Up to 10 Gigabit,16,Windows,RunInstances:0800,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 300 NVMe SSD,,Shared,,,,BoxUsage:z1d.2xlarge,8,,Compute Instance,SRXJAFS8YVB7VXF7
42757,Used,2.8 GHz,No,,,108,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,60 GiB,10 Gigabit,64,RHEL,RunInstances:0010,,Intel Xeon E5-2680 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 320 SSD,,Shared,,,,BoxUsage:c3.8xlarge,32,,Compute Instance,FFWF55NY7SRTUYUX
42762,Used,Up to 3.0 GHz,Yes,,,Variable,,,,,,,,,,,,,,,,,,,,,,,General purpose,t2.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Moderate,8,SUSE,RunInstances:000g,,Intel Xeon Family,NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:t2.xlarge,4,,Compute Instance,6VG367TBGT66TM4N
42774,Used,2.5 GHz,No,,,53,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,High,32,RHEL,RunInstances:0010,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,4 x 800 SSD,,Dedicated,,,,DedicatedUsage:i2.4xlarge,16,,Compute Instance,EM4WENQDQTCE6CHN
42780,Used,2.3 GHz,Yes,1600 Mbps,,27,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,Up to 10 Gigabit,16,Windows,RunInstances:0202,,Intel Xeon E5-2686 v4 (Broadwell),SQL Web,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:r4.2xlarge,8,,Compute Instance,47S8UCB86MXKYKKM
42811,Used,2.3 GHz,Yes,7000 Mbps,,179,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.16xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,"1,952 GiB",10 Gigabit,128,Linux,RunInstances:0004,,High Frequency Intel Xeon E7-8880 v3 (Haswell),SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1920 SSD,,Host,,,,HostBoxUsage:x1e.16xlarge,64,,Compute Instance,E6XWJ42V3SQ46AUV
42813,Used,2.9 GHz,Yes,4000 Mbps,,132,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,60 GiB,10 Gigabit,64,Linux,RunInstances:0200,,Intel Xeon E5-2666 v3 (Haswell),SQL Web,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:c4.8xlarge,36,,Compute Instance,2NRW68SGTZBAN4VT
42830,Used,2.9 GHz,Yes,750 Mbps,,16,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c4.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,7.5 GiB,High,8,Windows,RunInstances:0002,,Intel Xeon E5-2666 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:c4.xlarge,4,,Compute Instance,BVA53SP54488TUC8
42845,Used,2.3 GHz,Yes,3000 Mbps,,53,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,r4.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,Up to 10 Gigabit,32,Windows,RunInstances:0002,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:r4.4xlarge,16,,Compute Instance,K2UX3Q9DEX25YU7R
42852,Used,2.5 GHz,Yes,Upto 2120 Mbps,,31,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,16,SUSE,RunInstances:000g,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m5.2xlarge,8,,Compute Instance,8VBVPXK58UV5Z3FE
42868,Used,,Yes,,,28,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,8,Linux,RunInstances,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Dedicated,,,,DedicatedUsage:z1d.xlarge,4,,Compute Instance,WK3GAKUG26XENZYC
42883,Used,2.5 GHz,No,,,53,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i2.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,122 GiB,High,32,Windows,RunInstances:0002,,Intel Xeon E5-2670 v2 (Ivy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,4 x 800 SSD,,Dedicated,,,,DedicatedUsage:i2.4xlarge,16,,Compute Instance,R663DPH9T8Q89W88
42887,Used,2.5 GHz,Yes,Upto 2120 Mbps,,31,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,16,Linux,RunInstances,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m5.2xlarge,8,,Compute Instance,ZH8KU2QB7FHAJJXW
42890,Used,3.0 Ghz,Yes,Upto 2250 Mbps,,34,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5.2xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,Up to 10 Gigabit,16,Linux,RunInstances:0004,,Intel Xeon Platinum 8124M,SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:c5.2xlarge,8,,Compute Instance,GG73ZWBGC49WVJAH
42892,NA,,No,,Yes,8,,,,,,,,,,,,,,,,,,,,,,,General purpose,m1.xlarge,,,,NA,US East (N. Virginia),AWS Region,,,,,15 GiB,High,8,NA,Hourly,,Intel Xeon Family,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,4 x 420,,NA,,,,EBSOptimized:m1.xlarge,4,,Compute Instance,NYB5S5CHCEM4EHBM
42904,Used,,Yes,,,28,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,8,Windows,RunInstances:0202,,Intel Xeon Platinum 8151,SQL Web,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Host,,,,HostBoxUsage:z1d.xlarge,4,,Compute Instance,KEU3ZH278YPXB9C8
42934,Used,2.3 GHz,Yes,,,349,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1.32xlarge,Yes,Yes,Yes,No License required,US East (N. Virginia),AWS Region,,,,,"1,952 GiB",High,256,Windows,RunInstances:0006,,High Frequency Intel Xeon E7-8880 v3 (Haswell),SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 1920 SSD,,Dedicated,,,,DedicatedUsage:x1.32xlarge,128,,Compute Instance,27HV9GJNZPAQHPXQ
42939,Used,2.3 GHz,Yes,,,12,,Yes,,,1,,,,,,,,,,,,,,,,,,GPU instance,p2.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,61 GiB,High,8,Linux,RunInstances,,Intel Xeon E5-2686 v4 (Broadwell),NA,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Dedicated,,,,DedicatedUsage:p2.xlarge,4,,Compute Instance,RHMYCN6PD6GHSQUU
42983,Used,2.3 GHz,Yes,1750 Mbps,,47,,Yes,,,,,,,,,,,,,,,,,,,,,Memory optimized,x1e.4xlarge,Yes,Yes,,Bring your own license,US East (N. Virginia),AWS Region,,,,,488 GiB,Up to 10 Gigabit,32,Windows,RunInstances:0800,,High Frequency Intel Xeon E7-8880 v3 (Haswell),NA,64-bit,"Intel AVX, Intel AVX2",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 480 SSD,,Dedicated,,,,DedicatedUsage:x1e.4xlarge,16,,Compute Instance,TNZVJ6TD58FTD557
43001,Used,,Yes,,,28,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,8,Linux,RunInstances,,Intel Xeon Platinum 8151,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Shared,,,,BoxUsage:z1d.xlarge,4,,Compute Instance,HR52RACCFKFG3HCH
43002,Used,,Yes,,,71,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,128 GiB,10 Gigabit,32,Linux,RunInstances:0100,,Intel Xeon Platinum 8175,SQL Ent,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:r5.4xlarge,16,,Compute Instance,C64UF4K6N2VGQNXN
43028,Used,3.0 Ghz,Yes,9000 Mbps,,281,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c5d.18xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,144 GiB,25 Gigabit,144,Linux,RunInstances:0004,,Intel Xeon Platinum 8124M,SQL Std,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,1 x 1800 NVMe SSD,,Host,,,,HostBoxUsage:c5d.18xlarge,72,,Compute Instance,3U6J39XJ49H59PSD
